ENSMUST00000000001	Gnai3__chr3
ENSMUST00000127999	Cox6c__chr15
ENSMUST00000128000	Snhg12__chr4
ENSMUST00000128001	Lgals7__chr7
ENSMUST00000128002	Dcst1__chr3
ENSMUST00000128003	Cope__chr8
ENSMUST00000128004	Aurka__chr2
ENSMUST00000128005	Wdr77__chr3
ENSMUST00000128006	Pddc1__chr7
ENSMUST00000128007	Spocd1__chr4
ENSMUST00000128008	Rapsn__chr2
ENSMUST00000128009	Tmtc3__chr10
ENSMUST00000128010	Akr1a1__chr4
ENSMUST00000128011	Ccdc120__chrX
ENSMUST00000128012	Cask__chrX
ENSMUST00000128014	Btd__chr14
ENSMUST00000128015	Plekhg2__chr7
ENSMUST00000128016	Ubtf__chr11
ENSMUST00000128017	1700095J07Rik__chr6
ENSMUST00000128018	Suv420h2__chr7
ENSMUST00000128019	Cbx8__chr11
ENSMUST00000128020	Nrg4__chr9
ENSMUST00000128021	Stra6__chr9
ENSMUST00000128022	Trmt1__chr8
ENSMUST00000128023	Gcdh__chr8
ENSMUST00000128024	Dpy19l4__chr4
ENSMUST00000128025	Tmem128__chr5
ENSMUST00000128026	2500004C02Rik__chr2
ENSMUST00000128027	Mphosph9__chr5
ENSMUST00000128028	Calr__chr8
ENSMUST00000128029	Adrm1__chr2
ENSMUST00000128030	Tanc1__chr2
ENSMUST00000128031	Hdac2__chr10
ENSMUST00000128032	Aldoc__chr11
ENSMUST00000128033	Vav3__chr3
ENSMUST00000128034	Osbpl6__chr2
ENSMUST00000128035	Rad23a__chr8
ENSMUST00000128036	Rabl3__chr16
ENSMUST00000128038	Rnf44__chr13
ENSMUST00000128039	Dpm2__chr2
ENSMUST00000128040	Tceal3__chrX
ENSMUST00000128041	Tmem180__chr19
ENSMUST00000128042	Zcchc11__chr4
ENSMUST00000128043	Tmem9b__chr7
ENSMUST00000128044	Ucp3__chr7
ENSMUST00000128045	Trmt2a__chr16
ENSMUST00000128046	2810408A11Rik__chr11
ENSMUST00000128048	Prmt2__chr10
ENSMUST00000128049	Cln3__chr7
ENSMUST00000128050	St6gal1__chr16
ENSMUST00000128051	Pkhd1__chr1
ENSMUST00000128052	Mthfsd__chr8
ENSMUST00000128053	Gm14617__chr2
ENSMUST00000128054	AW551984__chr9
ENSMUST00000128055	Actg1__chr11
ENSMUST00000128056	1700045H11Rik__chr4
ENSMUST00000128057	Oraov1__chr7
ENSMUST00000128058	Pgap3__chr11
ENSMUST00000128059	Akr1a1__chr4
ENSMUST00000128060	Nr2e3__chr9
ENSMUST00000128061	4932438A13Rik__chr3
ENSMUST00000128062	Trex1__chr9
ENSMUST00000128064	Ndufb2__chr6
ENSMUST00000128065	Usp48__chr4
ENSMUST00000128066	Sh3rf2__chr18
ENSMUST00000128067	Pex14__chr4
ENSMUST00000128068	Tmem132c__chr5
ENSMUST00000128069	Adam7__chr14
ENSMUST00000128070	Casc1__chr6
ENSMUST00000128071	Ttn__chr2
ENSMUST00000128072	Stat6__chr10
ENSMUST00000128073	Atp5a1__chr18
ENSMUST00000128074	Rpl9__chr5
ENSMUST00000128075	Park7__chr4
ENSMUST00000128076	Nnmt__chr9
ENSMUST00000128077	Mapkbp1__chr2
ENSMUST00000128078	Gm11496__chr11
ENSMUST00000128079	Fance__chr17
ENSMUST00000128080	Lyzl4os__chr9
ENSMUST00000128081	Fto__chr8
ENSMUST00000128082	Recql__chr6
ENSMUST00000128083	Zc3h7a__chr16
ENSMUST00000128084	Ildr1__chr16
ENSMUST00000128085	Lipt1__chr1
ENSMUST00000128086	Imp4__chr1
ENSMUST00000128087	Sft2d1__chr17
ENSMUST00000128088	Saa1__chr7
ENSMUST00000128089	Psrc1__chr3
ENSMUST00000128090	Adck4__chr7
ENSMUST00000128092	Pstk__chr7
ENSMUST00000128094	Junos__chr4
ENSMUST00000128095	Cask__chrX
ENSMUST00000128096	Ccbl2__chr3
ENSMUST00000128097	C9__chr15
ENSMUST00000128098	Tmem125__chr4
ENSMUST00000128099	Prmt2__chr10
ENSMUST00000128100	Pole3__chr4
ENSMUST00000128101	Ccdc63__chr5
ENSMUST00000128102	Gm28308__chr6
ENSMUST00000128103	Fgf10__chr13
ENSMUST00000128105	Heg1__chr16
ENSMUST00000128106	Slc39a6__chr18
ENSMUST00000128107	Fam46c__chr3
ENSMUST00000128108	Nr2e3__chr9
ENSMUST00000128109	Sgce__chr6
ENSMUST00000128110	Pltp__chr2
ENSMUST00000128111	Gm11532__chr11
ENSMUST00000128112	C530008M17Rik__chr5
ENSMUST00000128113	Trpv1__chr11
ENSMUST00000128114	Syt12__chr19
ENSMUST00000128115	Trmt2b__chrX
ENSMUST00000128116	Mecr__chr4
ENSMUST00000128117	Clvs1__chr4
ENSMUST00000128118	Smc4__chr3
ENSMUST00000128119	Megf8__chr7
ENSMUST00000128120	Adgrv1__chr13
ENSMUST00000128121	Lhx1os__chr11
ENSMUST00000128122	Rnf220__chr4
ENSMUST00000128123	Tmem59__chr4
ENSMUST00000128124	Ccdc37__chr6
ENSMUST00000128125	Gm10658__chr9
ENSMUST00000128127	Hltf__chr3
ENSMUST00000128128	Zp3r__chr1
ENSMUST00000128129	Dis3l__chr9
ENSMUST00000128130	Rexo4__chr2
ENSMUST00000128131	Snhg12__chr4
ENSMUST00000128133	Rdh9__chr10
ENSMUST00000128134	Smc4__chr3
ENSMUST00000128135	Prkcd__chr14
ENSMUST00000128136	Hcfc1__chrX
ENSMUST00000128137	Kcna6__chr6
ENSMUST00000128138	Gm16046__chr17
ENSMUST00000128139	Fap__chr2
ENSMUST00000128140	Harbi1__chr2
ENSMUST00000128141	Ube2h__chr6
ENSMUST00000128142	Glt8d2__chr10
ENSMUST00000128144	Npdc1__chr2
ENSMUST00000128145	Dpf1__chr7
ENSMUST00000128146	Lmf1__chr17
ENSMUST00000128148	Cpne9__chr6
ENSMUST00000128149	Tmem141__chr2
ENSMUST00000128150	Ift46__chr9
ENSMUST00000128151	1700015F17Rik__chr5
ENSMUST00000128152	Dgkz__chr2
ENSMUST00000128153	Pms2__chr5
ENSMUST00000128154	Pde8a__chr7
ENSMUST00000128155	Cluh__chr11
ENSMUST00000128156	Il15ra__chr2
ENSMUST00000128157	Ppp2r2d__chr7
ENSMUST00000128158	Ptgr2__chr12
ENSMUST00000128159	Gm15638__chr16
ENSMUST00000128160	4930481B07Rik__chr3
ENSMUST00000128161	Rgs12__chr5
ENSMUST00000128162	Acot4__chr12
ENSMUST00000128163	Acsbg1__chr9
ENSMUST00000128164	Cspp1__chr1
ENSMUST00000128165	Rapgef4os2__chr2
ENSMUST00000128166	Zdhhc2__chr8
ENSMUST00000128167	Ercc2__chr7
ENSMUST00000128168	Cadm2__chr16
ENSMUST00000128169	Ptpn2__chr18
ENSMUST00000128170	Map4k2__chr19
ENSMUST00000128171	Tpra1__chr6
ENSMUST00000128172	Bcl2l1__chr2
ENSMUST00000128173	Tax1bp1__chr6
ENSMUST00000128174	Rps3__chr7
ENSMUST00000128175	Mapkapk3__chr9
ENSMUST00000128176	A730017L22Rik__chr2
ENSMUST00000128177	Otof__chr5
ENSMUST00000128178	Meg3__chr12
ENSMUST00000128179	Myl12a__chr17
ENSMUST00000128180	Gm13218__chr2
ENSMUST00000128181	Gm16175__chr7
ENSMUST00000128182	Zfr2__chr10
ENSMUST00000128183	Gm11690__chr11
ENSMUST00000128184	Hhex__chr19
ENSMUST00000128185	Sh3kbp1__chrX
ENSMUST00000128187	Hnrnpdl__chr5
ENSMUST00000128188	Adprhl2__chr4
ENSMUST00000128189	Cd84__chr1
ENSMUST00000128190	Tex30__chr1
ENSMUST00000128191	Gm2101__chrX
ENSMUST00000128192	Ryr3__chr2
ENSMUST00000128193	Nup88__chr11
ENSMUST00000128194	Tcte2__chr17
ENSMUST00000128195	Trmt44__chr5
ENSMUST00000128196	Slc5a10__chr11
ENSMUST00000128197	Gria3__chrX
ENSMUST00000128198	Gm15326__chr13
ENSMUST00000128199	Ppp1r26__chr2
ENSMUST00000128200	Upf2__chr2
ENSMUST00000128201	Prmt7__chr8
ENSMUST00000128202	Clspn__chr4
ENSMUST00000128203	Rab8a__chr8
ENSMUST00000128204	Mib2__chr4
ENSMUST00000128205	Zfp940__chr7
ENSMUST00000128206	Rprd1b__chr2
ENSMUST00000128207	Pms2__chr5
ENSMUST00000128208	Pla2r1__chr2
ENSMUST00000128210	Sec23b__chr2
ENSMUST00000128211	Dlec1__chr9
ENSMUST00000128212	Ablim1__chr19
ENSMUST00000128213	2610027K06Rik__chr11
ENSMUST00000128214	Gm11415__chr4
ENSMUST00000128215	Smarce1__chr11
ENSMUST00000128217	Zkscan2__chr7
ENSMUST00000128218	Gm16272__chr6
ENSMUST00000128219	Ntng1__chr3
ENSMUST00000128220	Hnrnph1__chr11
ENSMUST00000128221	Txnip__chr3
ENSMUST00000128222	Kncn__chr4
ENSMUST00000128223	Psen2__chr1
ENSMUST00000128224	Slc5a9__chr4
ENSMUST00000128225	Cln3__chr7
ENSMUST00000128226	Rab17__chr1
ENSMUST00000128227	Ugcg__chr4
ENSMUST00000128228	Extl2__chr3
ENSMUST00000128229	Arpc1b__chr5
ENSMUST00000128230	Tsr1__chr11
ENSMUST00000128231	Dad1__chr14
ENSMUST00000128232	Car9__chr4
ENSMUST00000128234	Spg7__chr8
ENSMUST00000128235	Gm16095__chr9
ENSMUST00000128236	Fam213a__chr14
ENSMUST00000128237	Cnot7__chr8
ENSMUST00000128238	Shc1__chr3
ENSMUST00000128239	Mrto4__chr4
ENSMUST00000128240	Gm15345__chr18
ENSMUST00000128241	Aire__chr10
ENSMUST00000128242	Gm13429__chr2
ENSMUST00000128243	Rbm39__chr2
ENSMUST00000128244	Slc36a3__chr11
ENSMUST00000128245	Wnt16__chr6
ENSMUST00000128246	Art3__chr5
ENSMUST00000128247	Gm28046__chr10
ENSMUST00000128249	Cdh23__chr10
ENSMUST00000128250	Araf__chrX
ENSMUST00000128251	Rgl1__chr1
ENSMUST00000128252	Mast2__chr4
ENSMUST00000128253	Pask__chr1
ENSMUST00000128254	Vps33b__chr7
ENSMUST00000128255	Lrwd1__chr5
ENSMUST00000128256	Mtmr3__chr11
ENSMUST00000128257	Rnf44__chr13
ENSMUST00000128258	Ahnak2__chr12
ENSMUST00000128259	4932414N04Rik__chr2
ENSMUST00000128260	Ramp2__chr11
ENSMUST00000128261	Uxs1__chr1
ENSMUST00000128262	Nagk__chr6
ENSMUST00000128263	Gm12841__chr4
ENSMUST00000128264	Nras__chr3
ENSMUST00000128265	Cdk9__chr2
ENSMUST00000128266	Tsen54__chr11
ENSMUST00000128267	Prdm9__chr17
ENSMUST00000128268	Jup__chr11
ENSMUST00000128269	Zbtb38__chr9
ENSMUST00000128270	Stt3a__chr9
ENSMUST00000128271	Aif1l__chr2
ENSMUST00000128272	Nrxn2__chr19
ENSMUST00000128273	Fam131a__chr16
ENSMUST00000128274	Gm11587__chr1
ENSMUST00000128275	Ptpn14__chr1
ENSMUST00000128276	Frrs1l__chr4
ENSMUST00000128277	Ing4__chr6
ENSMUST00000128278	Tle6__chr10
ENSMUST00000128279	Ccnb1__chr13
ENSMUST00000128280	Eya2__chr2
ENSMUST00000128281	Tmem256__chr11
ENSMUST00000128282	Jazf1__chr6
ENSMUST00000128283	Per3__chr4
ENSMUST00000128284	Yipf1__chr4
ENSMUST00000128285	Tfrc__chr16
ENSMUST00000128286	Bdh1__chr16
ENSMUST00000128287	Yars__chr4
ENSMUST00000128288	Tvp23a__chr16
ENSMUST00000128289	Ccdc120__chrX
ENSMUST00000128290	Cnep1r1__chr8
ENSMUST00000128292	Zfp286os__chr11
ENSMUST00000128293	Zfp324__chr7
ENSMUST00000128294	Tnnt3__chr7
ENSMUST00000128295	Usp20__chr2
ENSMUST00000128296	Arfgap2__chr2
ENSMUST00000128297	Pank4__chr4
ENSMUST00000128298	Gm13610__chr2
ENSMUST00000128299	Rdh13__chr7
ENSMUST00000128300	Akt1__chr12
ENSMUST00000128302	Smyd3__chr1
ENSMUST00000128303	Ntmt1__chr2
ENSMUST00000128304	Cmc2__chr8
ENSMUST00000128305	D330050G23Rik__chr2
ENSMUST00000128306	Gpr68__chr12
ENSMUST00000128307	Gm14033__chr2
ENSMUST00000128308	Adgrg5__chr8
ENSMUST00000128309	Ppp1cc__chr5
ENSMUST00000128311	Il9r__chr11
ENSMUST00000128312	Pgbd5__chr8
ENSMUST00000128313	Fam167a__chr14
ENSMUST00000128314	Notch4__chr17
ENSMUST00000128315	Gpld1__chr13
ENSMUST00000128316	Chaf1b__chr16
ENSMUST00000128317	Ttyh1__chr7
ENSMUST00000128318	Clk2__chr3
ENSMUST00000128319	Clcn5__chrX
ENSMUST00000128320	Aars__chr8
ENSMUST00000128321	Hira__chr16
ENSMUST00000128323	Tmem107__chr11
ENSMUST00000128324	Gm16330__chr8
ENSMUST00000128325	Hcfc1__chrX
ENSMUST00000128326	Phldb1__chr9
ENSMUST00000128327	Gm10706__chr9
ENSMUST00000128329	Arhgap4__chrX
ENSMUST00000128330	Serpinf2__chr11
ENSMUST00000128331	Rundc3a__chr11
ENSMUST00000128332	Adam8__chr7
ENSMUST00000128333	Btk__chrX
ENSMUST00000128334	Usp14__chr18
ENSMUST00000128335	Tpst1__chr5
ENSMUST00000128336	Irf1__chr11
ENSMUST00000128337	Pms1__chr1
ENSMUST00000128338	Btbd11__chr10
ENSMUST00000128339	Sp110__chr1
ENSMUST00000128340	Slc5a9__chr4
ENSMUST00000128341	Myo9a__chr9
ENSMUST00000128342	Gm16576__chr15
ENSMUST00000128343	Gm3160__chr8
ENSMUST00000128344	Tmem154__chr3
ENSMUST00000128345	Brinp3__chr1
ENSMUST00000128346	Rasa2__chr9
ENSMUST00000128347	Sema5b__chr16
ENSMUST00000128348	Abhd10__chr16
ENSMUST00000128349	Ptgfr__chr3
ENSMUST00000128350	Dhodh__chr8
ENSMUST00000128351	Cbs__chr17
ENSMUST00000128352	Prpf40b__chr15
ENSMUST00000128353	Ankrd9__chr12
ENSMUST00000128354	Nr1h2__chr7
ENSMUST00000128355	Senp3__chr11
ENSMUST00000128356	Mast1__chr8
ENSMUST00000128357	Fam45a__chr19
ENSMUST00000128358	Ptpn5__chr7
ENSMUST00000128359	Spag5__chr11
ENSMUST00000128360	Epb4.2__chr2
ENSMUST00000128361	Pabpc1l2a-ps__chrX
ENSMUST00000128362	Slc44a5__chr3
ENSMUST00000128363	Socs2__chr10
ENSMUST00000128364	Mboat7__chr7
ENSMUST00000128365	Phldb2__chr16
ENSMUST00000128367	Slco4a1__chr2
ENSMUST00000128368	Ctrcos__chr4
ENSMUST00000128369	Mars__chr10
ENSMUST00000128370	Zfp287__chr11
ENSMUST00000128371	Ikbip__chr10
ENSMUST00000128372	Ahsa2__chr11
ENSMUST00000128373	Fam78b__chr1
ENSMUST00000128374	Mrpl19__chr6
ENSMUST00000128375	Nfrkb__chr9
ENSMUST00000128376	Ptov1__chr7
ENSMUST00000128377	Tnfaip8__chr18
ENSMUST00000128378	Stra6__chr9
ENSMUST00000128379	Myo1h__chr5
ENSMUST00000128380	Auh__chr13
ENSMUST00000128381	Haus6__chr4
ENSMUST00000128382	Chmp3__chr6
ENSMUST00000128383	Piezo1__chr8
ENSMUST00000128384	Fam187b__chr7
ENSMUST00000128385	Gm13053__chr4
ENSMUST00000128386	Pprc1__chr19
ENSMUST00000128387	Sh3glb2__chr2
ENSMUST00000128388	Dnhd1__chr7
ENSMUST00000128389	Mfng__chr15
ENSMUST00000128390	Ttc13__chr8
ENSMUST00000128391	Cldn15__chr5
ENSMUST00000128392	Slc22a23__chr13
ENSMUST00000128393	Sh2d1a__chrX
ENSMUST00000128394	Phf19__chr2
ENSMUST00000128395	Apex1__chr14
ENSMUST00000128396	Hemk1__chr9
ENSMUST00000128397	Nfyb__chr10
ENSMUST00000128399	Ptprr__chr10
ENSMUST00000128400	Dnase2a__chr8
ENSMUST00000128401	Rexo4__chr2
ENSMUST00000128402	Kif26a__chr12
ENSMUST00000128403	Gba2__chr4
ENSMUST00000128405	Slc4a1__chr11
ENSMUST00000128406	Tfap2c__chr2
ENSMUST00000128407	Top3b__chr16
ENSMUST00000128408	Dbi__chr1
ENSMUST00000128409	Rab4b__chr7
ENSMUST00000128410	Cmtr1__chr17
ENSMUST00000128411	Tgtp2__chr11
ENSMUST00000128414	Dnajc7__chr11
ENSMUST00000128415	Gm15619__chr9
ENSMUST00000128416	Lrrc16a__chr13
ENSMUST00000128417	Tpr__chr1
ENSMUST00000128418	F10__chr8
ENSMUST00000128419	Gucd1__chr10
ENSMUST00000128420	Gtf2h1__chr7
ENSMUST00000128421	Zfp61__chr7
ENSMUST00000128422	Dmpk__chr7
ENSMUST00000128423	Mtus2__chr5
ENSMUST00000128424	Def8__chr8
ENSMUST00000128425	Stk3__chr15
ENSMUST00000128426	Rnf38__chr4
ENSMUST00000128427	Zfp446__chr7
ENSMUST00000128428	Frmd5__chr2
ENSMUST00000128429	Capn10__chr1
ENSMUST00000128430	Ifi203__chr1
ENSMUST00000128431	Fnbp1__chr2
ENSMUST00000128432	Ikzf5__chr7
ENSMUST00000128433	1700025G04Rik__chr1
ENSMUST00000128434	Rmnd1__chr10
ENSMUST00000128435	Col8a2__chr4
ENSMUST00000128436	Irak1__chrX
ENSMUST00000128437	Gga3__chr11
ENSMUST00000128438	Zfp687__chr3
ENSMUST00000128439	Gne__chr4
ENSMUST00000128440	Aimp2__chr5
ENSMUST00000128441	Gar1__chr3
ENSMUST00000128442	Rab3d__chr9
ENSMUST00000128443	1700123M08Rik__chr4
ENSMUST00000128444	Szrd1__chr4
ENSMUST00000128445	Catip__chr1
ENSMUST00000128446	Slco1a5__chr6
ENSMUST00000128447	Eme1__chr11
ENSMUST00000128448	Stx2__chr5
ENSMUST00000128449	Gata1__chrX
ENSMUST00000128450	Prlr__chr15
ENSMUST00000128451	Lypd6__chr2
ENSMUST00000128452	Dhx34__chr7
ENSMUST00000128453	Gm12295__chr11
ENSMUST00000128454	Dhcr7__chr7
ENSMUST00000128455	Tmem180__chr19
ENSMUST00000128456	Kmt2b__chr7
ENSMUST00000128457	A430005L14Rik__chr4
ENSMUST00000128458	Meg3__chr12
ENSMUST00000128459	Abat__chr16
ENSMUST00000128460	Fah__chr7
ENSMUST00000128461	Bnip1__chr17
ENSMUST00000128462	Btnl9__chr11
ENSMUST00000128463	Reck__chr4
ENSMUST00000128464	Dsc2__chr18
ENSMUST00000128465	Dos__chr10
ENSMUST00000128466	Cenpo__chr12
ENSMUST00000128467	Cdc123__chr2
ENSMUST00000128468	Kat2b-ps__chr5
ENSMUST00000128469	A530058N18Rik__chr2
ENSMUST00000128470	Parp11__chr6
ENSMUST00000128471	Rgma__chr7
ENSMUST00000128472	Ctu2__chr8
ENSMUST00000128473	B230112J18Rik__chr5
ENSMUST00000128474	0610037L13Rik__chr4
ENSMUST00000128475	Zfr__chr15
ENSMUST00000128476	Gm16208__chr8
ENSMUST00000128477	Caprin1__chr2
ENSMUST00000128478	Mapk7__chr11
ENSMUST00000128479	Vtn__chr11
ENSMUST00000128480	Wipf3__chr6
ENSMUST00000128481	Syt8__chr7
ENSMUST00000128482	Rps15a__chr7
ENSMUST00000128483	Rad50__chr11
ENSMUST00000128484	Txndc16__chr14
ENSMUST00000128485	Cap1__chr4
ENSMUST00000128486	Lins__chr7
ENSMUST00000128487	Stxbp5__chr10
ENSMUST00000128488	Dos__chr10
ENSMUST00000128489	4930401O10Rik__chr11
ENSMUST00000128490	Dcaf11__chr14
ENSMUST00000128491	Rnf25__chr1
ENSMUST00000128492	Dennd1a__chr2
ENSMUST00000128493	Trim6__chr7
ENSMUST00000128494	Celf5__chr10
ENSMUST00000128495	Zfp444__chr7
ENSMUST00000128496	Ankrd6__chr4
ENSMUST00000128497	Top3b__chr16
ENSMUST00000128498	Mafg__chr11
ENSMUST00000128499	Rbm12__chr2
ENSMUST00000128500	Fnbp1__chr2
ENSMUST00000128501	Tenm2__chr11
ENSMUST00000128502	Kcnt1__chr2
ENSMUST00000128503	Mthfsd__chr8
ENSMUST00000128504	Mettl16__chr11
ENSMUST00000128505	Tmbim1__chr1
ENSMUST00000128506	Ppig__chr2
ENSMUST00000128507	Yipf1__chr4
ENSMUST00000128508	Igsf8__chr1
ENSMUST00000128509	Ntmt1__chr2
ENSMUST00000128510	Ctcf__chr8
ENSMUST00000128511	Nudt9__chr5
ENSMUST00000128512	Samd14__chr11
ENSMUST00000128513	Fkbp8__chr8
ENSMUST00000128514	Gm15800__chr5
ENSMUST00000128515	Cd99l2__chrX
ENSMUST00000128516	Ppp2r4__chr2
ENSMUST00000128517	Pnpla7__chr2
ENSMUST00000128518	Gm12854__chr4
ENSMUST00000128519	Eif4a1__chr11
ENSMUST00000128520	Gm16121__chr5
ENSMUST00000128521	Gm12243__chr11
ENSMUST00000128522	5430419D17Rik__chr7
ENSMUST00000128523	Pkn1__chr8
ENSMUST00000128524	Vsig10__chr5
ENSMUST00000128525	Acvrl1__chr15
ENSMUST00000128526	Lsm8__chr6
ENSMUST00000128527	Fuom__chr7
ENSMUST00000128528	Synpo__chr18
ENSMUST00000128530	March5__chr19
ENSMUST00000128531	Atf2__chr2
ENSMUST00000128532	Hjurp__chr1
ENSMUST00000128533	Tcp10a__chr17
ENSMUST00000128534	Creb3l2__chr6
ENSMUST00000128535	Mrps5__chr2
ENSMUST00000128536	Mier1__chr4
ENSMUST00000128537	Trmt1__chr8
ENSMUST00000128538	Rasal2__chr1
ENSMUST00000128539	Clu__chr14
ENSMUST00000128540	Akt2__chr7
ENSMUST00000128541	Ptgr2__chr12
ENSMUST00000128542	4930481A15Rik__chr19
ENSMUST00000128543	Stra13__chr11
ENSMUST00000128544	Auh__chr13
ENSMUST00000128545	2210411M09Rik__chr1
ENSMUST00000128546	Ehf__chr2
ENSMUST00000128547	Col2a1__chr15
ENSMUST00000128548	Inip__chr4
ENSMUST00000128549	Npr2__chr4
ENSMUST00000128550	Trrap__chr5
ENSMUST00000128551	Tfg__chr16
ENSMUST00000128553	Znf512b__chr2
ENSMUST00000128554	1700087M22Rik__chr14
ENSMUST00000128555	Mbd2__chr18
ENSMUST00000128556	Srr__chr11
ENSMUST00000128557	Champ1__chr8
ENSMUST00000128558	Sgcd__chr11
ENSMUST00000128559	Ahsa2__chr11
ENSMUST00000128560	BC029214__chr2
ENSMUST00000128561	Lsg1__chr16
ENSMUST00000128562	Gm14426__chr2
ENSMUST00000128563	Gm13028__chr4
ENSMUST00000128564	Ninl__chr2
ENSMUST00000128565	Arhgef9__chrX
ENSMUST00000128566	Pcp2__chr8
ENSMUST00000128567	Foxp2__chr6
ENSMUST00000128568	Cd209f__chr8
ENSMUST00000128569	2900005J15Rik__chr5
ENSMUST00000128570	Rreb1__chr13
ENSMUST00000128571	2010204K13Rik__chrX
ENSMUST00000128572	Tgm4__chr9
ENSMUST00000128573	Gucy1b2__chr14
ENSMUST00000128574	Trim2__chr3
ENSMUST00000128575	Smco2__chr6
ENSMUST00000128576	Matk__chr10
ENSMUST00000128577	Gm14164__chr2
ENSMUST00000128578	3110009E18Rik__chr1
ENSMUST00000128579	Mad1l1__chr5
ENSMUST00000128580	Tango2__chr16
ENSMUST00000128581	Rpl24__chr16
ENSMUST00000128582	Dnajc11__chr4
ENSMUST00000128583	Zfp385b__chr2
ENSMUST00000128584	Ttc28__chr5
ENSMUST00000128585	Adgrv1__chr13
ENSMUST00000128586	Gm15899__chr8
ENSMUST00000128587	Cyp2r1__chr7
ENSMUST00000128588	4930587A21Rik__chr1
ENSMUST00000128589	Gm13391__chr2
ENSMUST00000128590	Sppl3__chr5
ENSMUST00000128591	2310081O03Rik__chr4
ENSMUST00000128592	Dlg2__chr7
ENSMUST00000128593	Crat__chr2
ENSMUST00000128594	Eif4g1__chr16
ENSMUST00000128595	Tprg__chr16
ENSMUST00000128596	Ctsa__chr2
ENSMUST00000128597	Tmem8__chr17
ENSMUST00000128598	Eno2__chr6
ENSMUST00000128599	Elavl2__chr4
ENSMUST00000128600	Nr1h2__chr7
ENSMUST00000128601	A930104D05Rik__chr2
ENSMUST00000128602	Gm14144__chr2
ENSMUST00000128603	1500017E21Rik__chr19
ENSMUST00000128604	Nudt5__chr2
ENSMUST00000128605	Atp6v0d2__chr4
ENSMUST00000128606	Gm16355__chr2
ENSMUST00000128607	Mecr__chr4
ENSMUST00000128608	A130030D18Rik__chr2
ENSMUST00000128609	Gbp3__chr3
ENSMUST00000128610	Dhcr7__chr7
ENSMUST00000128611	Slc25a25__chr2
ENSMUST00000128612	Ckmt1__chr2
ENSMUST00000128614	Tmem106a__chr11
ENSMUST00000128615	Cp__chr3
ENSMUST00000128616	Malsu1__chr6
ENSMUST00000128617	Gadd45a__chr6
ENSMUST00000128618	Orc4__chr2
ENSMUST00000128619	Hhat__chr1
ENSMUST00000128620	2810428I15Rik__chr8
ENSMUST00000128621	Fastkd2__chr1
ENSMUST00000128622	Slc1a2__chr2
ENSMUST00000128623	Trim16__chr11
ENSMUST00000128624	Acsbg1__chr9
ENSMUST00000128625	Tchp__chr5
ENSMUST00000128626	Eef1g__chr19
ENSMUST00000128627	Ninl__chr2
ENSMUST00000128628	Cacna1f__chrX
ENSMUST00000128629	Hacl1__chr14
ENSMUST00000128630	Arhgap15__chr2
ENSMUST00000128631	Ankrd54__chr15
ENSMUST00000128632	Ict1__chr11
ENSMUST00000128633	Mpc2__chr1
ENSMUST00000128634	Gm6288__chr6
ENSMUST00000128635	Acpp__chr9
ENSMUST00000128636	Anp32a__chr9
ENSMUST00000128637	Ppm1l__chr3
ENSMUST00000128638	Igsf9__chr1
ENSMUST00000128640	Errfi1__chr4
ENSMUST00000128641	Uimc1__chr13
ENSMUST00000128642	Cpeb3__chr19
ENSMUST00000128643	Eme1__chr11
ENSMUST00000128644	Tspan13__chr12
ENSMUST00000128645	Rbck1__chr2
ENSMUST00000128646	Phactr1__chr13
ENSMUST00000128647	Lrrc75aos2__chr11
ENSMUST00000128648	Txndc17__chr11
ENSMUST00000128649	Tmem80__chr7
ENSMUST00000128650	Plcd3__chr11
ENSMUST00000128651	Lmnb1__chr18
ENSMUST00000128652	4930597A21Rik__chr11
ENSMUST00000128653	Pcsk4__chr10
ENSMUST00000128654	8430419K02Rik__chr11
ENSMUST00000128655	Pask__chr1
ENSMUST00000128656	Btbd3__chr2
ENSMUST00000128657	Gm14418__chr2
ENSMUST00000128658	Zmynd11__chr13
ENSMUST00000128659	Tmem106a__chr11
ENSMUST00000128660	Casp9__chr4
ENSMUST00000128661	Nuak2__chr1
ENSMUST00000128662	Gm16180__chr8
ENSMUST00000128663	Phf19__chr2
ENSMUST00000128664	Oaz2__chr9
ENSMUST00000128665	Surf1__chr2
ENSMUST00000128666	Morc2a__chr11
ENSMUST00000128667	Fktn__chr4
ENSMUST00000128668	Fbxl21__chr13
ENSMUST00000128669	Col4a5__chrX
ENSMUST00000128670	Mfsd10__chr5
ENSMUST00000128671	Wdsub1__chr2
ENSMUST00000128673	Map2__chr1
ENSMUST00000128674	Nacc2__chr2
ENSMUST00000128675	Cdrt4os2__chr11
ENSMUST00000128676	Znfx1__chr2
ENSMUST00000128677	Isoc2b__chr7
ENSMUST00000128678	Sppl3__chr5
ENSMUST00000128679	Ier3ip1__chr18
ENSMUST00000128680	Ralgds__chr2
ENSMUST00000128681	Gm14222__chr2
ENSMUST00000128682	Arl5b__chr2
ENSMUST00000128683	Cep250__chr2
ENSMUST00000128684	Pacsin3__chr2
ENSMUST00000128685	Pde4c__chr8
ENSMUST00000128686	Hdac5__chr11
ENSMUST00000128688	Nr6a1__chr2
ENSMUST00000128689	Tmod1__chr4
ENSMUST00000128690	Elmo2__chr2
ENSMUST00000128691	Mlxipl__chr5
